puesto,sector,sueldo_base_mensual,es_honorarios
DIRECCIÓN,Dirección,"$53,000",FALSO
Recepción,Administración,"$10,000",FALSO
Marca,Dir  Ejecutiva,"$25,000",FALSO
DIRECCION EJEC.,Dir  Ejecutiva,"$72,424",FALSO
D.O.,Dir Ejecutiva,"$35,000",FALSO
Coordinador Administrativo,Administración,"$25,000",FALSO
Coordinación Preescolar,Administración,"$25,000",FALSO
Coordinación Primaria Baja,Administración,"$18,500",FALSO
Coordinación Primaria Alta,Administración,"$25,000",FALSO
Coordinador Secundaria,Administración,"$25,000",FALSO
Coordinador Prepa,Administración,"$25,000",FALSO
Servicios Escolares,Administración,"$15,000",FALSO
Auxiliar Administrativo,Administración,"$15,000",FALSO
Líder TI,Administración,"$20,000",FALSO
TECNOLOGIA,Administración,"$14,000",FALSO
CAP,Administración,"$14,000",FALSO
CAP,Administración,"$14,000",FALSO
Lider CAI,Administración,"$18,000",FALSO
CAI,Administración,"$12,000",FALSO
CAI,Administración,"$12,000",FALSO
CAI,Administración,"$14,000",FALSO
Intendencia,Administración,"$10,000",FALSO
Intendencia,Administración,"$10,000",FALSO
Intendencia,Administración,"$10,000",FALSO
Intendencia,Administración,"$10,000",FALSO
Intendencia,Administración,"$10,000",FALSO
Enfermera,Administración,"$18,000",FALSO
Mantenimiento,Administración,"$12,000",FALSO
Mantenimiento,Administración,"$12,000",FALSO
Formador Preescolar,MATERNAL,"$15,000",FALSO
Formador Preescolar,MATERNAL ,"$15,000",FALSO
Formador Preescolar,KINDER 1,"$15,000",FALSO
Formador Preescolar,KINDER 1,"$15,000",FALSO
Formador Preescolar,KINDER 2,"$15,000",FALSO
Formador Preescolar,KINDER 2,"$15,000",FALSO
Formador Preescolar,KINDER 3,"$15,000",FALSO
Formador Preescolar,KINDER 3,"$15,000",FALSO
Asistente educativo,ASISTENTE MATERNAL ,"$11,000",FALSO
Asistente educativo,ASISTENTE MATERNAL ,"$11,000",FALSO
Asistente educativo,ASISTENTE KINDER ,"$11,000",FALSO
Asistente educativo,ASISTENTE KINDER ,"$11,000",FALSO
Asistente educativo,ASISTENTE KINDER ,"$11,000",FALSO
Formador Primaria,PRIMARIA 1,"$15,000",FALSO
Formador Primaria,PRIMARIA 1,"$15,000",FALSO
Formador Primaria,PRIMARIA 2,"$15,000",FALSO
Formador Primaria,PRIMARIA 2,"$15,000",FALSO
Formador Primaria,PRIMARIA 3,"$15,000",FALSO
Formador Primaria,PRIMARIA 3,"$15,000",FALSO
Formador Primaria,PRIMARIA 4,"$15,000",FALSO
Formador Primaria,PRIMARIA 4,"$15,000",FALSO
Formador Primaria,PRIMARIA 5,"$15,000",FALSO
Formador Primaria,PRIMARIA 5,"$15,000",FALSO
Formador Primaria,PRIMARIA 6,"$15,000",FALSO
Formador Primaria,PRIMARIA 6,"$15,000",FALSO
Formador Secundaria,Secundaria 1,"$15,000",FALSO
Formador Secundaria,Secundaria 1,"$15,000",FALSO
Formador Secundaria,Secundaria 2,"$15,000",FALSO
Formador Secundaria,Secundaria 2,"$15,000",FALSO
Formador Secundaria,Secundaria 3,"$15,000",FALSO
Formador Secundaria,Secundaria 3,"$15,000",FALSO
Formador Secundaria,Secundaria gral,"$15,000",FALSO
Formador Secundaria,Secundaria gral,"$15,000",FALSO
Formador preparatoria,Mentor prepa 1,"$26,000",FALSO
Formador preparatoria,Prepa 1,"$15,000",FALSO
Formador preparatoria,Mentor prepa 2,"$26,000",FALSO
Formador preparatoria,Prepa 2,"$15,000",FALSO
Formador preparatoria,Mentor prepa 3,"$26,000",FALSO
Formador preparatoria,Prepa 3,"$15,000",FALSO
Life Project Lider,Administración,"$25,000",FALSO